J’,Par,N’,J’’,Par’’,N’’,Frequency,State’,V’,Lambda’,Sigma’,Omega’,State’’,V’’,Lambda’’,Sigma’’,Omega’’,Weight
0.5,-,1,0.5,+,1,7.1424,1,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
0.5,-,1,0.5,+,1,7.142378,1,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
1.5,-,1,0.5,+,1,7.3283,1,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
1.5,+,1,0.5,-,1,14.4675,1,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
1.5,-,1,0.5,+,1,7.32833,1,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
1.5,+,1,0.5,-,1,14.467518,1,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
1.5,-,1,0.5,+,1,7.328325,1,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
1.5,+,1,0.5,-,1,14.467519,1,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
2.5,+,1,1.5,-,1,14.5914,1,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
2.5,+,1,1.5,-,1,14.591371,1,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
2.5,+,1,1.5,-,1,14.591372,1,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
0.5,-,2,0.5,+,1,1179.7891,1,1,0,-0.5,-0.5,1,0,0,0.5,0.5,1
0.5,+,2,0.5,-,1,1165.6634,1,1,0,0.5,0.5,1,0,0,-0.5,-0.5,1
0.5,+,2,1.5,-,1,1165.4772,1,1,0,0.5,0.5,1,0,0,-0.5,-0.5,1
0.5,-,2,1.5,+,1,1158.1783,1,1,0,-0.5,-0.5,1,0,0,0.5,0.5,1
0.5,+,2,1.5,-,1,1165.47721,1,1,0,0.5,0.5,1,0,0,-0.5,-0.5,1
0.5,-,2,1.5,+,1,1158.17826,1,1,0,-0.5,-0.5,1,0,0,0.5,0.5,1
1.5,+,2,0.5,-,2,14.1485,1,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
1.5,-,2,0.5,+,1,1179.9687,1,1,0,-0.5,-0.5,1,0,0,0.5,0.5,1
1.5,+,2,2.5,-,1,1150.6037,1,1,0,0.5,0.5,1,0,0,-0.5,-0.5,1
1.5,+,2,0.5,-,1,1186.795,1,1,0,0.5,0.5,1,0,0,-0.5,-0.5,1
1.5,-,2,2.5,+,1,1158.0489,1,1,0,-0.5,-0.5,1,0,0,0.5,0.5,1
1.5,+,2,2.5,-,1,1150.6041,1,1,0,0.5,0.5,1,0,0,-0.5,-0.5,1
1.5,+,2,0.5,-,2,14.148543,1,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
1.5,+,2,0.5,-,2,14.148543,1,1,0,0.5,0.5,1,1,0,-0.5,-0.5,1
1.5,+,2,2.5,-,1,1150.60372,1,1,0,0.5,0.5,1,0,0,-0.5,-0.5,1
1.5,-,2,0.5,+,1,1179.96868,1,1,0,-0.5,-0.5,1,0,0,0.5,0.5,1
1.5,-,2,2.5,+,1,1158.04888,1,1,0,-0.5,-0.5,1,0,0,0.5,0.5,1
1.5,+,2,0.5,-,1,1186.79497,1,1,0,0.5,0.5,1,0,0,-0.5,-0.5,1
1.5,+,2,2.5,-,1,1150.60409,1,1,0,0.5,0.5,1,0,0,-0.5,-0.5,1
