J’,Par,N’,J’’,Par’’,N’’,Frequency,State’,V’,Lambda’,Sigma’,Omega’,State’’,V’’,Lambda’’,Sigma’’,Omega’’,Weight
0.5,+,18,1.5,-,1,14345.3,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
1.5,-,18,2.5,+,1,14336.01,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
2.5,+,18,3.5,-,1,14327.14,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
3.5,-,18,4.5,+,1,14319.6,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
4.5,+,18,5.5,-,1,14311.54,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
5.5,-,18,6.5,+,1,14304.31,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
6.5,+,18,7.5,-,1,14297.44,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
7.5,-,18,8.5,+,1,14290.92,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
8.5,+,18,9.5,-,1,14285.01,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
9.5,-,18,10.5,+,1,14279.45,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
10.5,+,18,11.5,-,1,14274.35,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
11.5,-,18,12.5,+,1,14269.63,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
12.5,+,18,13.5,-,1,14265.32,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
13.5,-,18,14.5,+,1,14261.52,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
14.5,+,18,15.5,-,1,14258.06,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
15.5,-,18,16.5,+,1,14255.04,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
16.5,+,18,17.5,-,1,14252.35,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
17.5,-,18,18.5,+,1,14250.22,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
18.5,+,18,19.5,-,1,14248.45,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
19.5,-,18,20.5,+,1,14247.03,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
20.5,+,18,21.5,-,1,14246,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
21.5,-,18,22.5,+,1,14245.27,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
22.5,+,18,23.5,-,1,14244.99,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
23.5,-,18,24.5,+,1,14244.99,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
24.5,+,18,25.5,-,1,14245.27,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
25.5,-,18,26.5,+,1,14246,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
26.5,+,18,27.5,-,1,14247.03,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
27.5,-,18,28.5,+,1,14248.45,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
28.5,+,18,29.5,-,1,14250.23,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
29.5,-,18,30.5,+,1,14252.35,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
30.5,+,18,31.5,-,1,14254.48,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
31.5,-,18,32.5,+,1,14257.02,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
32.5,+,18,33.5,-,1,14259.86,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
33.5,-,18,34.5,+,1,14262.85,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
34.5,+,18,35.5,-,1,14266.04,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
35.5,-,18,36.5,+,1,14269.63,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
36.5,+,18,37.5,-,1,14273.34,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
37.5,-,18,38.5,+,1,14277.33,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
38.5,+,18,39.5,-,1,14281.41,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
39.5,-,18,40.5,+,1,14285.71,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
40.5,+,18,41.5,-,1,14290.09,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
41.5,-,18,42.5,+,1,14294.46,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
42.5,+,18,43.5,-,1,14299.18,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
1.5,-,18,0.5,+,1,14357.21,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
2.5,+,18,1.5,-,1,14363.79,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
3.5,-,18,2.5,+,1,14370.78,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
4.5,+,18,3.5,-,1,14376.93,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
5.5,-,18,4.5,+,1,14384.2,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
6.5,+,18,5.5,-,1,14391.73,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
7.5,-,18,6.5,+,1,14399.71,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
8.5,+,18,7.5,-,1,14408.03,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
9.5,-,18,8.5,+,1,14419.79,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
10.5,+,18,9.5,-,1,14425.9,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
11.5,-,18,10.5,+,1,14435.26,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
12.5,+,18,11.5,-,1,14445.08,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
13.5,-,18,12.5,+,1,14455.24,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
14.5,+,18,13.5,-,1,14465.72,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
15.5,-,18,14.5,+,1,14476.5,4,0,0,-0.5,-0.5,1,0,0,0.5,0.5,1
16.5,+,18,15.5,-,1,14487.62,4,0,0,0.5,0.5,1,0,0,-0.5,-0.5,1
