R,<1.1|LSY|1.2>
1.4,-86.4051860693
1.45,-88.419896862283
1.5,-90.022883949351
1.55,-91.297433214053
1.6,-92.251755248545
1.65,-92.942540104937
1.7,-93.446749203835
1.75,-93.771568356254
1.8,-93.895452553278
1.85,-93.8634047629
1.9,-93.686026495283
1.95,-93.399050433803
2,-93.333702783385
2.05,-93.253219805883
2.06,-93.178725460206
2.07,-93.095967540011
2.08,-93.00791452222
2.09,-92.915660649604
2.1,-92.81675645444
2.11,-68.910320490263
2.12,-69.391468204376
2.14,-92.617940018861
2.141,-92.604144779447
2.142,-92.593664791988
2.143,-92.583150422316
2.144,-92.572598142787
2.145,-92.565527090866
2.146,-92.551679035903
2.147,-92.543970642986
2.148,-92.53011144423
2.149,-92.51942666063
2.15,-92.508563561157
2.151,-92.497774671211
2.152,-92.48703969478
2.153,-92.476188925446
2.154,-92.465288541006
2.155,-92.454279400907
2.156,-92.443381673954
2.157,-92.435295686757
2.158,-92.424201184308
2.159,-92.410322544285
2.16,-92.399370256289
2.2,-91.931932992787
2.25,-91.277317304881
2.3,-90.558956311698
2.35,-89.783566859106
2.4,-88.958517529766
2.45,-88.089732976498
2.5,-87.192191815077
2.55,-86.245396978096
2.6,-85.262075484789
2.65,-84.246083907336
2.7,-83.196981707711
2.75,-82.113299519525
2.8,-80.994280017306
2.85,-79.834185975494
2.9,-78.626999564792
2.95,-77.361843133666
3,-76.022737675609
3.05,-74.589713804116
3.1,-73.029313168538
3.15,-70.254328434676
3.2,-68.618521144409
3.25,-66.841666283627
3.3,-64.902767223409
3.35,-62.778713010801
3.4,-60.458575483708
3.45,-57.940063818128
3.5,-55.232444787273
3.55,-52.368007875813
3.6,-49.418031049941
3.65,-46.597954751591
3.7,-43.931792756683
3.75,-41.098977720462
3.8,-38.174365661021
3.85,-35.24560866264
3.9,32.368117305205
3.95,-26.25484739608
4,-23.642690007266
4.05,-21.243113800715
4.1,-19.045709287565
4.15,-17.045938429844
4.2,-15.237406520941
4.25,-13.612682988533
4.3,-12.145647910467
4.35,-10.828703797951
4.4,-9.647867913103
4.45,-8.588668918342
4.5,7.64112192591
4.55,6.796565162022
4.6,6.037247278503
4.65,5.357670899366
4.7,4.748804739074
4.75,4.204716912983
4.8,3.717811808956
4.85,3.283065495016
4.9,2.893342614414
4.95,2.544201236307
5,2.230999035356
5.05,1.953018963964
5.1,1.703354610004
5.15,1.481511977281
5.2,1.283707098068
5.25,1.107564016962
5.3,0.950591165811
5.35,0.81117519052
5.4,0.688235551854
5.45,0.577850847416
5.5,0.480548503071
5.55,0.395485073452
5.6,0.321560541879
5.65,0.256521967884
5.7,0.199642526826
5.75,0.150059176938
5.8,0.108009441738
5.85,0.072210082303
5.9,0.04221544858
5.95,0.01777547124
6.1,-0.018401487118
6.15,-0.02912330889
6.2,-0.032689508341
6.25,-0.030732973545
6.3,-0.025858458077
6.35,-0.01961204342
6.4,-0.011475595805
6.45,-0.006643396693
6.55,-0.00100758171
6.65,0.009249763602
6.7,0.008499683068
6.75,0.009903889875
6.8,0.011900357677
6.85,0.012220662192
6.9,0.013088659441
6.95,0.013411747518
7,0.014092445313
7.05,0.015116796349
7.1,0.014201433857
7.15,0.013950764369
7.2,0.01358583521
7.25,0.013217984799
7.4,0.012771417195
7.45,0.012122606917
7.65,0.011321943595
7.7,0.009504307579
7.75,0.008401649553
7.85,0.007128132363
7.9,0.006108350431
7.95,0.005509381285
