R,<2.1|LSY|1.2>
1.4,107.849497833523
1.45,105.950334096531
1.5,104.307052093216
1.55,102.774578527629
1.6,101.562267408827
1.65,100.529630448187
1.7,99.71403650846
1.75,99.04191090597
1.8,98.515711259576
1.85,98.155800340528
1.9,97.898226612368
1.95,97.762984873863
2,97.739568808977
2.05,97.725985846863
2.06,97.720843899763
2.07,97.699430225218
2.08,97.700015933573
2.09,97.694722549067
2.1,97.696557016363
2.11,124.330031490343
2.12,124.093242842436
2.14,97.711867701789
2.141,97.708887823988
2.142,97.709821546196
2.143,97.710723425019
2.144,97.71163968003
2.145,97.713060379043
2.146,97.714025856517
2.147,97.718369645631
2.148,97.715685260235
2.149,97.71676315525
2.15,97.717710987195
2.151,97.718797780498
2.152,97.723672446197
2.153,97.721057844415
2.154,97.722188748119
2.155,97.72325585769
2.156,97.724520180439
2.157,97.725690657336
2.158,97.726806231283
2.159,97.728192581675
2.16,97.729231552263
2.2,97.798262837577
2.25,97.921226977057
2.3,98.066577867014
2.35,98.214021707078
2.4,98.325730684987
2.45,98.363374941331
2.5,98.242984711519
2.55,97.816532712368
2.6,96.820009784118
2.65,94.744584155973
2.7,90.739940580556
2.75,83.924706430636
2.8,74.682333011653
2.85,65.268254296265
2.9,57.710471035017
2.95,52.479497650591
3,49.19134987054
3.05,47.34122547728
3.1,46.527700154057
3.15,46.400356468977
3.2,46.930716222897
3.25,47.888729900927
3.3,49.166063202522
3.35,50.674720956954
3.4,52.338522610859
3.45,54.087341525668
3.5,55.85694128485
3.55,57.590021518151
3.6,59.241938370089
3.65,60.851210427931
3.7,62.550410375175
3.75,64.167049359894
3.8,65.636922910963
3.85,66.976545473336
3.9,68.210744627964
3.95,74.907994226647
4,75.412853145395
4.05,75.824494757955
4.1,76.188565666117
4.15,76.53061239602
4.2,76.87172026916
4.25,77.223216110864
4.3,77.611329460263
4.35,78.042551815121
4.4,78.526177177963
4.45,79.06964116367
4.5,79.6766621165
4.55,80.348705020855
4.6,81.105684099835
4.65,81.942512988957
4.7,82.858534517582
4.75,83.851830725604
4.8,84.923176013269
4.85,86.066018452816
4.9,87.279080348861
4.95,88.556609846884
5,89.902693834547
5.05,91.275667674144
5.1,92.700675418034
5.15,94.145497993434
5.2,95.606681329092
5.25,97.073607680406
5.3,98.535891043835
5.35,99.980761397599
5.4,101.398235215277
5.45,102.784295144418
5.5,104.134166596732
5.55,105.418677298219
5.6,106.640497274025
5.65,107.800255104489
5.7,108.892545374892
5.75,109.916539682395
5.8,110.871514115706
5.85,111.756594307439
5.9,112.571970526725
5.95,113.320248117904
6.1,114.615580549257
6.15,115.178408483699
6.2,115.688906133345
6.25,116.155159950677
6.3,116.560530798909
6.35,116.913658126467
6.4,117.227829717581
6.45,117.49762080615
6.55,117.734709911633
6.65,118.13029891068
6.7,118.306145540876
6.75,118.459284555479
6.8,118.599196769622
6.85,118.728559214638
6.9,118.833309815248
6.95,118.939615353523
7,119.035556569494
7.05,119.123932687655
7.1,119.20597364767
7.15,119.280033761359
7.2,119.348493363193
7.25,119.410677773749
7.4,119.468046756683
7.45,119.534691036538
7.65,119.667132153832
7.7,119.70369866114
7.75,119.737746089245
7.85,119.797862660982
7.9,119.824679205312
7.95,119.848443606791
