R,<2.1|LSY|2.2>
1.4,21.683651271518
1.45,20.140788399615
1.5,18.724413463455
1.55,17.429484836903
1.6,16.344357932459
1.65,15.298433513077
1.7,14.454082466748
1.75,13.690184218768
1.8,13.078822028134
1.85,12.582964552884
1.9,12.204088686998
1.95,11.908816446945
2,11.860319285245
2.05,11.815598310155
2.06,11.769899938649
2.07,11.732555809275
2.08,11.698055555357
2.09,11.664306391296
2.1,11.638518602946
2.11,29.764503765649
2.12,29.668182919964
2.14,11.591152214858
2.141,11.589090148294
2.142,11.585555662448
2.143,11.583568889827
2.144,11.581622598549
2.145,11.581264062785
2.146,11.577953447857
2.147,11.576007970624
2.148,11.574189186812
2.149,11.572390947453
2.15,11.570625681227
2.151,11.568877696826
2.152,11.568381100395
2.153,11.56666127172
2.154,11.56498095458
2.155,11.562147549083
2.156,11.561676043739
2.157,11.558962684165
2.158,11.557324694986
2.159,11.555791379353
2.16,11.554275226086
2.2,11.517099500601
2.25,11.526888939043
2.3,11.594037396288
2.35,11.714428779126
2.4,11.885281504491
2.45,12.108629591457
2.5,12.374567954345
2.55,12.702100058085
2.6,13.100637758473
2.65,13.5804212379
2.7,14.127929529645
2.75,14.668151865921
2.8,15.106405473424
2.85,15.433424542824
2.9,15.739612999363
2.95,16.087344486497
3,16.451169870319
3.05,16.790579436316
3.1,17.066124613851
3.15,18.870745770801
3.2,18.897015221261
3.25,18.731907236954
3.3,18.3512647105
3.35,17.741864687715
3.4,16.894310713212
3.45,15.814836709966
3.5,14.522826881025
3.55,13.030356983293
3.6,11.299018182372
3.65,9.006606760484
3.7,6.089736591633
3.75,3.360767917654
3.8,0.91193328675
3.85,-1.2496433867
3.9,-3.068794463343
3.95,1.195315294179
4,0.001136024878
4.05,-0.94603548134
4.1,-1.651555071982
4.15,-2.168819508584
4.2,-2.52757957517
4.25,-2.770201389948
4.3,-2.88644233016
4.35,-2.914441679569
4.4,-2.87624054914
4.45,-2.782815609674
4.5,-2.649244712777
4.55,-2.505245323325
4.6,-2.327879453421
4.65,-2.143885722208
4.7,1.961013406441
4.75,1.782443944628
4.8,1.607623780714
4.85,1.439001437654
4.9,1.282786736587
4.95,1.137057279797
5,0.987613917455
5.05,0.870614138468
5.1,0.758067919429
5.15,0.660128058324
5.2,0.574872814052
5.25,0.501991479073
5.3,0.433551329764
5.35,0.376746422641
5.4,0.325807691791
5.45,0.277437626507
5.5,0.22090950961
5.55,0.183758163994
5.6,0.146612371023
5.65,0.111757566848
5.7,0.074541776075
5.75,0.036841385836
5.8,-0.007163978407
5.85,-0.053140194705
5.9,-0.10609011606
5.95,-0.16401834083
6.1,-0.287962701091
6.15,-0.361396962746
6.2,-0.428509164367
6.25,-0.485024978359
6.3,-0.503035536041
6.35,-0.492541178183
6.4,-0.467762548616
6.45,-0.428204089673
6.55,-0.376266800763
6.65,-0.240163333259
6.7,-0.233664034615
6.75,-0.184757438635
6.8,-0.139608980205
6.85,-0.099773576002
6.9,-0.065779651833
6.95,-0.034675097944
7,0.000129514239
7.05,0.029317973071
7.1,0.040285723223
7.15,0.06665361552
7.2,0.072841686409
7.25,0.086956218251
7.4,0.096839847134
7.45,0.104120385373
7.65,0.12643802287
7.7,0.111088733242
7.75,0.103172488978
7.85,0.099005396307
7.9,0.090401130275
7.95,0.086760520857
