R,<1.1|LSY|2.2>
1.4,-62.743112789921
1.45,-63.274849347195
1.5,-63.652078129236
1.55,-63.77959211522
1.6,-63.902305646233
1.65,-63.897635631961
1.7,-63.88070749614
1.75,-63.705055890771
1.8,-63.435402747228
1.85,-63.199788480532
1.9,-62.863607578758
1.95,-62.53009916059
2,-62.440149598948
2.05,-62.364411897211
2.06,-62.299345531242
2.07,-62.204649294548
2.08,-62.135582258981
2.09,-62.052339882539
2.1,-61.957324402305
2.11,-56.266748734272
2.12,-56.449064476268
2.14,-61.793772976528
2.141,-61.784915573976
2.142,-61.766735548048
2.143,-61.757893926845
2.144,-61.749038068382
2.145,-61.740292224955
2.146,-61.731404439323
2.147,-61.72240423444
2.148,-61.713493716954
2.149,-61.704562270407
2.15,-61.69561468063
2.151,-61.686644779476
2.152,-61.677652664122
2.153,-61.668660714742
2.154,-61.659638076716
2.155,-61.650599670366
2.156,-61.641535696569
2.157,-61.641054724443
2.158,-61.623368307553
2.159,-61.614260255009
2.16,-61.60532054937
2.2,-61.22639369422
2.25,-60.71192304425
2.3,-60.145651802651
2.35,-59.521337444995
2.4,-58.828595438491
2.45,-58.056852721801
2.5,-57.188571223153
2.55,-56.212442214336
2.6,-55.113101697709
2.65,-53.87623310109
2.7,-52.485886328581
2.75,-50.927790931822
2.8,-49.188485528835
2.85,-47.257010858936
2.9,-45.123107168735
2.95,-42.78245812274
3,-40.234441473641
3.05,-37.485610998355
3.1,-34.551370892089
3.15,-33.716804477192
3.2,-30.623605244834
3.25,-27.415698005661
3.3,-24.135116161002
3.35,-20.8307916508
3.4,-17.562019274031
3.45,-14.386756464318
3.5,-11.360220476472
3.55,-8.519862365208
3.6,-5.829893907657
3.65,-3.000999091183
3.7,-0.129679368306
3.75,2.057079352979
3.8,3.626172252345
3.85,4.681395141266
3.9,5.282954017478
3.95,3.304445855361
4,3.423886481629
4.05,3.391027364992
4.1,3.238943413709
4.15,3.018702404967
4.2,2.751885388339
4.25,2.462558175335
4.3,2.163454237866
4.35,1.866584875762
4.4,1.584082660047
4.45,1.315614597835
4.5,-1.067389086884
4.55,-0.840121112347
4.6,-0.636422739585
4.65,-0.454107138266
4.7,-0.292963453323
4.75,-0.151123721197
4.8,-0.02698683418
4.85,0.08118606886
4.9,0.176588046771
4.95,0.258443161356
5,0.327901566853
5.05,0.38836517724
5.1,0.441574066374
5.15,0.487707826952
5.2,0.526666576997
5.25,0.560848772255
5.3,0.590280485784
5.35,0.615854523874
5.4,0.638568263916
5.45,0.657873194237
5.5,0.673433913393
5.55,0.688850744207
5.6,0.702178698171
5.65,0.71417454418
5.7,0.724357350789
5.75,0.734089426597
5.8,0.743168232234
5.85,0.75077862254
5.9,0.758041021461
5.95,0.764665933447
6.1,0.774028249456
6.15,0.777507388408
6.2,0.778987758114
6.25,0.780012834149
6.3,0.779263854506
6.35,0.778272711519
6.4,0.777084418126
6.45,0.775482886463
6.55,0.773395826412
6.65,0.770314744756
6.7,0.767753667352
6.75,0.765180780316
6.8,0.762793564324
6.85,0.761135556797
6.9,0.759383431672
6.95,0.756582274677
7,0.755084791809
7.05,0.752749383629
7.1,0.75082825265
7.15,0.748964566143
7.2,0.747321927374
7.25,0.745258301076
7.4,0.743764392735
7.45,0.742421065658
7.65,0.739724471869
7.7,0.738802526183
7.75,0.737863241306
7.85,0.736032808441
7.9,0.73531609357
7.95,0.73420825949
