R,<1.2|LSZ|1.3>
1.4,-128.977582046393
1.45,-129.203714100708
1.5,-129.483152814102
1.55,-129.796853721689
1.6,-130.13908631379
1.65,-130.479125331852
1.7,-130.819255123429
1.75,-131.150316084305
1.8,-131.470783422325
1.85,-131.773719187238
1.9,-132.056928204388
1.95,-132.317671655418
2,-132.367302326813
2.05,-132.416119121248
2.06,-132.463339235186
2.07,-132.511121026719
2.08,-132.556875604465
2.09,-132.601415386703
2.1,-132.644918846956
2.11,-130.428644906583
2.12,-130.374932138927
2.14,-132.729182867981
2.141,-132.733318206301
2.142,-132.737446566432
2.143,-132.741884001997
2.144,-132.745993147146
2.145,-132.750093716697
2.146,-132.753865405887
2.147,-132.758269243058
2.148,-132.76202031966
2.149,-132.76620412814
2.15,-132.770111210465
2.151,-132.774161389603
2.152,-132.7782465658
2.153,-132.782280257431
2.154,-132.786146313039
2.155,-132.7903920103
2.156,-132.794627072858
2.157,-132.798549294052
2.158,-132.802544631079
2.159,-132.806740394895
2.16,-132.810193366554
2.2,-132.962960949402
2.25,-133.135165785797
2.3,-133.283572166454
2.35,-133.415399450532
2.4,-133.532897040054
2.45,-133.638788554489
2.5,-133.738109524854
2.55,-133.834595639887
2.6,-133.9364958596
2.65,-134.048611050812
2.7,-134.176523839665
2.75,-134.327808995516
2.8,-134.504998864325
2.85,-134.717448436864
2.9,-134.967768925458
2.95,-135.256257413978
3,-135.578381893757
3.05,-135.928476576992
3.1,-136.289967798937
3.15,-138.194471627994
3.2,-138.711977004534
3.25,-139.23522061614
3.3,-139.733236539713
3.35,-140.163509117153
3.4,-140.490430880385
3.45,-140.670770266157
3.5,-140.68024906992
3.55,-140.502312359361
3.6,-140.179746357101
3.65,-140.06879780935
3.7,-140.543356121633
3.75,-140.801943208816
3.8,-140.765166629901
3.85,-140.526902847001
3.9,-140.167915782017
3.95,-140.063154314824
4,-139.092467675584
4.05,-138.12793966073
4.1,-137.188619059523
4.15,-136.281217070894
4.2,-135.426956342322
4.25,-134.629756537723
4.3,-133.884295478568
4.35,-133.197851158387
4.4,-132.55877711358
4.45,-131.974316596627
4.5,-131.438699375838
4.55,-130.951619390715
4.6,-130.502220401365
4.65,-130.093063537066
4.7,-129.720039877939
4.75,-129.378073590969
4.8,-129.069779335012
4.85,-128.784185486755
4.9,-128.528619520924
4.95,-128.292888714853
5,-128.078005174661
5.05,-127.884787647836
5.1,-127.716408501803
5.15,-127.554255923035
5.2,-127.407407945211
5.25,-127.277113649184
5.3,-127.155909612043
5.35,-127.045153496317
5.4,-126.941678996565
5.45,-126.848723158344
5.5,-126.768203657352
5.55,-126.691301110034
5.6,-126.619141953147
5.65,-126.555316977412
5.7,-126.493812464243
5.75,-126.436120160857
5.8,-126.381501743228
5.85,-126.329314769239
5.9,-126.278752000952
5.95,-126.228416772268
6.1,-126.128058398492
6.15,-126.074840705205
6.2,-126.020680847972
6.25,-125.967235587924
6.3,-125.923604431796
6.35,-125.886365023761
6.4,-125.855064041986
6.45,-125.830582624008
6.55,-125.811826499689
6.65,-125.774279858386
6.7,-125.759856692235
6.75,-125.750196128777
6.8,-125.739665521513
6.85,-125.734864989499
6.9,-125.702392132655
6.95,-125.693538311659
7,-125.687307592352
7.05,-125.681146029942
7.1,-125.676992136814
7.15,-125.671979714165
7.2,-125.666568536402
7.25,-125.663336466438
7.4,-125.659715862894
7.45,-125.684398921403
7.65,-125.675802275111
7.7,-125.674253248949
7.75,-125.671087060829
7.85,-125.666277411979
7.9,-125.664557827938
7.95,-125.661883767813
