R,E|LSZ|E
1.4,-33.460517927805
1.45,-34.213976533158
1.5,-34.930759994431
1.55,-35.706721778772
1.6,-36.546780803062
1.65,-37.304415511751
1.7,-38.14701136685
1.75,-38.957939918229
1.8,-39.823371323143
1.85,-40.714487376905
1.9,-41.627874091991
1.95,-42.587131141177
2,-42.777809268766
2.05,-42.969389092561
2.06,-43.14449880033
2.07,-43.325294209319
2.08,-43.53675469214
2.09,-43.715507501678
2.1,-43.927791804792
2.14,-44.306394805785
2.141,-44.326213822209
2.142,-44.346041468094
2.143,-44.36587415108
2.144,-44.401381882918
2.145,-44.421207435956
2.146,-44.425418845572
2.147,-44.445281372928
2.148,-44.480735274675
2.149,-44.485043457427
2.15,-44.504927502475
2.151,-44.524818189634
2.152,-44.544728830022
2.153,-44.564633425995
2.154,-44.584529380182
2.155,-44.619864805776
2.156,-44.624360914097
2.157,-44.644295051852
2.158,-44.679591998613
2.159,-44.684185132633
2.16,-44.704129101766
2.2,-45.507416020328
2.25,-46.536283005188
2.3,-47.545280686077
2.35,-48.568257538903
2.4,-49.598155826648
2.45,-50.589608534241
2.5,-51.576867179938
2.55,-52.51466404316
2.6,-53.39068816499
2.65,-54.210624293486
2.7,-54.957559164086
2.75,-55.593832480434
2.8,-56.099679354349
2.85,-56.481271391331
2.9,-56.717979915299
2.95,-56.765986068135
3,-56.650806052441
3.05,-56.329100955086
3.1,-55.848184089503
3.15,-56.606643728311
3.2,-55.472150726843
3.25,-54.158092449133
3.3,-52.688429326718
3.35,-51.10687626934
3.4,-49.464500130544
3.45,-47.816378158353
3.5,-46.218559760544
3.55,-44.742084778474
3.6,-43.465189897809
3.65,-42.611178566747
3.7,-41.911295782738
3.75,-40.946268888336
3.8,-39.804834675639
3.85,-38.507185670655
3.9,-37.022792923491
3.95,-30.639009000463
4,-29.781429187352
4.05,-28.940649414543
4.1,-28.120807217293
4.15,-27.321938294539
4.2,-26.546568097116
4.25,-25.80111025885
4.3,-25.080447643169
4.35,-24.39138529721
4.4,-23.74052351438
4.45,-23.120351750422
4.5,-22.532118649234
4.55,-21.98693704224
4.6,-21.475744503728
4.65,-21.000193987398
4.7,-20.559415351281
4.75,-20.152145115862
4.8,-19.773978076497
4.85,-19.435136601713
4.9,-19.115002694494
4.95,-18.823188271894
5,-18.557861283314
5.05,-18.316649369987
5.1,-18.093651386388
5.15,-17.896761951986
5.2,-17.711749328518
5.25,-17.549606865215
5.3,-17.396859978167
5.35,-17.261136221847
5.4,-17.138368346407
5.45,-17.029817742954
5.5,-16.92701189066
5.55,-16.836504655863
5.6,-16.757250080637
5.65,-16.683693905892
5.7,-16.617233709957
5.75,-16.555151141034
5.8,-16.501225625336
5.85,-16.45246997969
5.9,-16.408308265086
5.95,-16.367576422334
6.1,-16.295996250755
6.15,-16.260326402151
6.2,-16.228121165836
6.25,-16.198115376836
6.3,-16.172796374514
6.35,-16.148101833294
6.4,-16.125337406807
6.45,-16.10666652235
6.55,-16.091845693658
6.65,-16.06472019794
6.7,-16.054246076062
6.75,-16.04420688391
6.8,-16.035823210521
6.85,-16.032787905942
6.9,-16.025919544841
6.95,-16.01961055185
7,-16.013064767172
7.05,-16.009493734462
7.1,-16.003625028389
7.15,-15.999722714016
7.2,-15.995899890431
7.25,-15.992487818431
7.4,-15.990717797034
7.45,-15.988193436022
7.65,-15.982045413569
7.7,-15.979846693262
7.75,-15.978007679473
7.85,-15.974234920022
7.9,-15.972885864661
7.95,-15.966900346372
