R,b2Sig
1.4,40417.3571656998
1.45,35566.97119225
1.5,31439.69403191
1.55,27961.6372188497
1.6,25040.8872269699
1.65,22608.5295635993
1.7,20603.3731090594
1.75,18971.5861915797
1.8,17665.5790065397
1.85,16643.2928273398
1.86,16469.5247611292
1.87,16305.3315516096
1.88,16150.4434582293
1.89,16004.6041936995
1.9,15867.56655546
1.91,15739.01359226
1.92,15618.7777445596
1.93,15506.5826336294
1.94,15402.2076623095
1.95,15305.4307560399
1.96,15216.0050320197
1.97,15133.7423158595
1.98,15058.4410942094
1.981,15051.2773576593
1.982,15044.19038973
1.983,15037.1441813698
1.984,15030.1843965296
1.985,15023.2936763493
1.986,15016.4754016995
1.987,15009.7120634392
1.988,15003.0141648296
1.989,14996.3871607799
1.99,14989.8253273694
1.991,14983.3474360397
1.992,14976.9176629195
1.993,14970.5407598298
1.994,14964.2364611793
1.995,14957.9888503598
1.996,14951.83046983
1.997,14945.7092133099
1.998,14939.6656597499
1.999,14933.6828370793
2,14927.7549881497
2.001,14921.9063808592
2.002,14916.1299892794
2.003,14910.3957622293
2.004,14904.7283378299
2.005,14899.13267045
2.006,14893.5946741793
2.007,14888.1118860692
2.008,14882.6976418197
2.009,14877.3478498599
2.01,14872.0572826294
2.011,14866.8067775499
2.012,14861.63916995
2.013,14856.5409979094
2.014,14851.4758430701
2.015,14846.4874109495
2.016,14841.5616928199
2.017,14836.69387546
2.018,14831.8844859395
2.019,14827.1409080597
2.02,14822.4530198593
2.03,14778.8197677294
2.04,14740.9771291995
2.05,14708.7130112294
2.06,14681.8609587196
2.07,14660.2811081493
2.08,14643.7825150397
2.09,14632.4758986998
2.1,14625.67654444
2.11,14623.4997698898
2.12,14625.8058850598
2.13,14632.4168165
2.14,14643.2231943198
2.141,14644.5290417895
2.142,14645.8778405199
2.143,14647.2641213695
2.144,14648.6910362495
2.145,14650.1696659792
2.146,14651.6760519594
2.147,14653.2116864696
2.148,14654.7971313894
2.149,14656.4225690793
2.15,14658.0869329693
2.151,14659.7906888695
2.152,14661.5337060392
2.153,14663.3146517798
2.154,14665.1349443896
2.155,14666.9945946997
2.156,14668.8924919199
2.157,14670.8286213093
2.158,14672.8002256993
2.159,14674.8129722793
2.16,14676.8628588896
2.2,14788.6497959998
2.25,15002.1037863195
2.3,15285.1304841796
2.35,15625.9661850799
2.4,16014.0782980397
2.45,16439.6618262399
2.5,16893.1184248198
2.55,17364.1426492492
2.56,17459.4488470098
2.57,17554.8758501392
2.58,17650.3038585
2.59,17745.6036247499
2.6,17840.6274322094
2.61,17935.2296690792
2.62,18029.2332799593
2.63,18122.4604602493
2.64,18214.7006732393
2.65,18305.7384843696
2.66,18395.3078353098
2.67,18483.1426674994
2.68,18568.9501413601
2.69,18652.3922250094
2.7,18733.1130544199
2.71,18810.75518905
2.72,18884.9347039796
2.73,18955.2651969194
2.74,19021.3848300595
2.75,19082.9665188696
2.76,19139.7125962693
2.77,19191.3954597795
2.78,19237.8995108195
2.79,19279.1713350592
2.8,19315.2524825595
2.81,19346.2824179092
2.82,19372.3898243094
2.83,19394.0301377401
2.84,19411.4364963993
2.85,19424.9605726395
2.86,19434.9653814593
2.87,19441.8144587493
2.88,19445.8567528492
2.89,19447.4295389596
2.9,19446.83342636
2.91,19444.3595018694
2.92,19440.2628923794
2.93,19434.7744591096
2.94,19428.0978417899
2.95,19420.4252578598
2.96,19411.9149386892
2.97,19402.7144833496
2.98,19392.9564242093
2.99,19382.73613929
3,19372.1778501198
3.01,19361.34909249
3.02,19350.3377038296
3.03,19339.2157407599
3.04,19328.0278826598
3.05,19316.8595942296
3.06,19305.7310951799
3.07,19294.6894759899
3.08,19283.7736072
3.09,19273.0169701697
3.1,19262.4284811094
3.15,19145.2002968797
3.2,19112.2958482197
3.25,19092.92852032
3.3,19088.9714585198
3.35,19102.0056773694
3.4,19133.4210178293
3.45,19184.3811448095
3.5,19255.7992726099
3.55,19348.2842191299
3.6,19462.1137438798
3.65,19597.3362716297
3.7,19753.7182758898
3.75,19929.9906280199
3.8,20124.8152891099
3.85,20336.7014135495
3.9,20563.9233986298
3.95,20769.1042826893
4,21016.9116113298
4.05,21272.8968861792
4.1,21535.1586558195
4.15,21801.7523505492
4.2,22071.0321288193
4.25,22341.4177578399
4.3,22611.9129742999
4.35,22881.2698128698
4.4,23148.50569118
4.45,23412.7615910396
4.5,23673.4374404196
4.55,23929.5282505397
4.6,24181.0535567496
4.65,24427.14621541
4.7,24667.2034045998
4.75,24900.9295005901
4.8,25128.0218223799
4.85,25348.1651735799
4.9,25561.0860350793
4.95,25766.5145615693
5,25964.35612721
5.05,26153.0363083398
5.1,26335.0502588199
5.15,26507.8919351995
5.2,26672.3010273892
5.25,26828.1948349196
5.3,26975.5564075597
5.35,27114.38768108
5.4,27244.7746297093
5.45,27367.6887266198
5.5,27481.2546440298
5.55,27587.69367499
5.6,27686.0249272194
5.65,27777.0657695998
5.7,27861.1089660795
5.75,27938.5535837095
5.8,28009.8020513197
5.85,28075.2582334392
5.9,28135.3700147495
5.95,28190.5049040001
6.05,28287.5196634894
6.1,28330.5434456598
6.15,28370.1921757599
6.2,28406.7609930197
6.25,28438.9432554394
6.3,28467.5127798701
6.35,28492.8412834695
6.4,28514.9140774496
6.45,28534.4381684801
6.55,28567.5099694999
6.6,28581.3969721301
6.65,28593.96943051
6.7,28605.3303135093
6.75,28615.6464149999
6.8,28625.0348473294
6.85,28633.5557945995
6.9,28641.3312145099
6.95,28648.4261753596
7,28654.8946198299
7.05,28660.8113098601
7.1,28666.2184680197
7.15,28671.1691490896
7.2,28675.7027056999
7.25,28679.8632167596
7.4,28690.4048067695
7.45,28693.3283842392
7.5,28696.0371278794
7.6,28700.7866707798
7.65,28702.8892024094
7.7,28704.8227273794
7.75,28706.6114163594
7.8,28708.2486987598
7.85,28709.7549836393
7.9,28711.1418109899
7.95,28712.4233894497
