R,c2Sig
1.4,52399.2924375394
1.45,48388.49308665
1.5,44963.84959599
1.55,41953.4146815799
1.6,39314.5020399392
1.65,36996.4331013393
1.7,34957.9563147193
1.75,33164.2045141701
1.8,31585.2710938593
1.85,30195.12073329
1.86,29937.6464239499
1.87,29686.6509503797
1.88,29441.9715901799
1.89,29203.39906774
1.9,28970.7962241201
1.91,28743.9933777098
1.92,28522.8915670197
1.93,28307.2911101999
1.94,28097.0657824697
1.95,27892.11194719
1.96,27692.2346452
1.97,27497.3722588699
1.98,27307.4193900097
1.981,27288.6698127994
1.982,27270.0076677296
1.983,27251.3683826998
1.984,27232.8048009593
1.985,27214.2500223098
1.986,27195.7930247495
1.987,27177.3496811697
1.988,27158.9604289494
1.989,27140.6310394099
1.99,27122.3641633196
1.991,27104.1359433895
1.992,27085.9552279795
1.993,27067.8562269593
1.994,27049.8024876593
1.995,27031.8083437197
1.996,27013.8933306998
1.997,26996.0446732799
1.998,26978.2872349294
1.999,26960.6325669698
2,26943.1157690892
2.001,26925.7835324099
2.002,26908.7440717192
2.003,26892.2153783692
2.004,26876.8652778193
2.005,26863.79096324
2.006,26824.7904818393
2.007,26800.3338004397
2.008,26790.7241023192
2.009,26776.0418883394
2.01,26759.99186478
2.011,26743.4202167094
2.012,26726.6171108801
2.013,26709.7139237896
2.014,26692.7364918794
2.015,26675.7349972995
2.016,26658.70418185
2.017,26641.7137670992
2.018,26624.73703775
2.019,26607.7877941392
2.02,26590.8605637792
2.03,26423.4690374192
2.04,26259.9234911297
2.05,26100.2511692597
2.06,25944.4263592297
2.07,25792.3524773698
2.08,25643.9603850897
2.09,25499.1764396792
2.1,25357.8126259893
2.11,25219.8365371795
2.12,25085.1293932795
2.13,24953.6429997198
2.14,24825.2929007094
2.141,24812.6237224098
2.142,24799.9843559898
2.143,24787.3755924795
2.144,24774.7969950596
2.145,24762.2457771795
2.146,24749.7271144297
2.147,24737.24037157
2.148,24724.78098814
2.149,24712.3516535899
2.15,24699.9519014396
2.151,24687.5816978095
2.152,24675.2409610199
2.153,24662.9243558198
2.154,24650.6421353798
2.155,24638.38976009
2.156,24626.16607296
2.157,24613.97131126
2.158,24601.8061329592
2.159,24589.6694234293
2.16,24577.5442525493
2.2,24116.0388113298
2.25,23596.9303510794
2.3,23135.0599747095
2.35,22724.0472723497
2.4,22358.9364394993
2.45,22035.79407054
2.5,21752.2429006798
2.55,21507.8412419092
2.56,21463.8097634092
2.57,21421.4765540399
2.58,21380.8842972601
2.59,21342.1226441199
2.6,21305.2256969297
2.61,21270.3079731399
2.62,21237.4375781892
2.63,21206.7956036096
2.64,21178.4943299796
2.65,21152.7505668197
2.66,21129.6533315694
2.67,21109.5092827696
2.68,21092.5664482899
2.69,21079.0868181996
2.7,21069.3105637198
2.71,21063.64313302
2.72,21062.4064712496
2.73,21065.8265134292
2.74,21074.4213210801
2.75,21088.41795165
2.76,21108.0511281295
2.77,21133.4994656797
2.78,21164.8950305395
2.79,21202.23693405
2.8,21245.47719198
2.81,21294.4145316696
2.82,21348.7475684695
2.83,21408.3349080794
2.84,21472.7336236294
2.85,21541.56184805
2.86,21614.4247059599
2.87,21690.92961598
2.88,21770.6995456601
2.89,21853.3704232993
2.9,21938.6056962796
2.91,22026.0975098396
2.92,22115.5633448698
2.93,22206.7473090999
2.94,22299.4103447599
2.95,22393.3815138098
2.96,22488.4300136492
2.97,22584.4106516493
2.98,22681.1918909494
2.99,22778.5934188999
3,22876.5502599692
3.01,22974.9140111096
3.02,23073.6169468993
3.03,23172.5709083797
3.04,23271.6498175198
3.05,23370.8449866893
3.06,23470.0498478096
3.07,23569.2128705196
3.08,23668.2656427398
