R,x2Sig
1.4,27127.9559919992
1.45,22286.1187943798
1.5,18129.1897558896
1.55,14582.4521068297
1.6,11572.0870919898
1.65,9035.54753322993
1.7,6917.08830124978
1.75,5167.11037680972
1.8,3741.30216762982
1.85,2600.16897790972
1.86,2402.92596273962
1.87,2215.39368507918
1.88,2037.29275992978
1.89,1868.39117166959
1.9,1708.43788415939
1.91,1557.20447640959
1.92,1414.41787506919
1.93,1279.87724479008
1.94,1153.36242511962
1.95,1034.62279053964
1.96,923.485928749666
1.97,819.722280359827
1.98,723.108662559651
1.981,713.842355649918
1.982,704.633895769715
1.983,695.492616199888
1.984,686.42729049921
1.985,677.420508199371
1.986,668.494742389768
1.987,659.6305452995
1.988,650.850676570088
1.989,642.120466759428
1.99,633.461700529791
1.991,624.875254959799
1.992,616.362046729773
1.993,607.898839269765
1.994,599.510622969829
1.995,591.207580159418
1.996,582.938018009998
1.997,574.753404799849
1.998,566.644365249202
1.999,558.580397170037
2,550.592505659908
2.001,542.668892389163
2.002,534.811319059692
2.003,527.022901630029
2.004,519.30042290967
2.005,511.641051189974
2.006,504.0484702494
2.007,496.509279079735
2.008,489.046499969438
2.009,481.647731619887
2.01,474.300028279424
2.011,467.022475429811
2.012,459.823613259941
2.013,452.660485879518
2.014,445.574759650044
2.015,438.553943639621
2.016,431.607831529342
2.017,424.707481899299
2.018,417.879909750074
2.019,411.1065065898
2.02,404.398677390069
2.03,340.708154809661
2.04,283.038254039362
2.05,231.239807229489
2.06,185.128787739202
2.07,144.514811279252
2.08,109.282728179358
2.09,79.2923887800425
2.1,54.3014559196308
2.11,34.2244157800451
2.12,18.8725796593353
2.13,8.15111880004406
2.14,1.90724929980934
2.141,1.52333345916122
2.142,1.18294351920486
2.143,0.885363269597292
2.144,0.6310427300632
2.145,0.418353379704058
2.146,0.249568469822407
2.147,0.124975619837642
2.148,0.0412054993212223
2.149,0
2.15,0.000842999666929245
2.151,0.0438836496323347
2.152,0.128992459736764
2.153,0.252802739851177
2.154,0.421144519932568
2.155,0.631579179316759
2.156,0.883281409740448
2.157,1.17613184917718
2.158,1.50984764005989
2.159,1.88520585000515
2.16,2.30099005997181
2.2,51.1421453496441
2.25,192.713537559845
2.3,411.672070259228
2.35,696.657934899442
2.4,1037.71682095993
2.45,1425.88585310988
2.5,1853.20639244001
2.55,2312.47909659985
2.56,2407.59516330995
2.57,2503.68289745972
2.58,2600.69059562962
2.59,2698.59011403937
2.6,2797.30213003978
2.61,2896.80884477962
2.62,2997.04405868985
2.63,3097.99625808001
2.64,3199.60490761977
2.65,3301.84682352003
2.66,3404.64219638985
2.67,3507.99651169963
2.68,3611.84296596982
2.69,3716.17269617971
2.7,3820.91158550978
2.71,3926.05018841941
